,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0641110897064209,0.0004957780890102739,168.04798221588135,44.20610929304856,83,OrderedDict({'n_neighbors': 83}),-534.3184207068716,-536.5987386677177,-535.319011956379,-537.1602943108659,-548.181591222653,-538.3156113728975,5.031443313385082,5
1,0.08666348457336426,0.05336435310795516,198.86705737113954,35.09986466593221,168,OrderedDict({'n_neighbors': 168}),-636.5501248193405,-641.4432400472999,-649.5643805019051,-635.0181973459466,-653.3450496025229,-643.184198463403,7.178789066235649,16
2,0.11211996078491211,0.009643466297980815,160.2987473964691,32.85724848079645,90,OrderedDict({'n_neighbors': 90}),-545.3975167520694,-541.8088950203653,-545.8187491788201,-541.2346603600053,-556.3235661257473,-546.1166774874015,5.425451320054134,7
3,0.09200034141540528,0.03632771306674237,227.2226330280304,82.51381069586128,163,OrderedDict({'n_neighbors': 163}),-634.374458021285,-631.8951517540402,-644.8508080409933,-629.8443699908028,-647.5271007161159,-637.6983777046473,7.129829821487024,15
4,0.22645440101623535,0.03787234174277278,169.38109517097473,57.16261934475486,160,OrderedDict({'n_neighbors': 160}),-632.22487189594,-630.1693601366443,-640.8916042569964,-629.0405334384444,-644.4513501084028,-635.3555439672857,6.163742713822217,14
5,0.0923431396484375,0.015884021828607504,335.6073200702667,20.09644194660655,147,OrderedDict({'n_neighbors': 147}),-616.589081592432,-617.0171462357115,-630.3992905005913,-618.6756667980554,-630.1958478417976,-622.5754065937175,6.34385686953838,13
6,0.09381365776062012,0.012429189825519528,143.63664140701295,27.987687084477532,124,OrderedDict({'n_neighbors': 124}),-590.3733412166602,-583.761135199054,-597.6677834712915,-588.7708579687295,-605.4238223506997,-593.199388041287,7.5641574266600085,12
7,0.07603387832641602,0.0371879739145669,173.4743399143219,43.13082935188718,109,OrderedDict({'n_neighbors': 109}),-569.9722112731573,-565.5306135855998,-577.4246485350151,-570.7069373275523,-585.5700019709611,-573.8408825384571,6.989483834916033,10
8,0.10195302963256836,0.009711375455272965,169.00834317207335,37.44143470580097,191,OrderedDict({'n_neighbors': 191}),-666.7722375509131,-661.8762974641966,-669.4107870187886,-658.5436867691499,-674.6463438670258,-666.2498705340148,5.644084236985318,19
9,0.08986196517944336,0.033016198013573264,135.0537974357605,32.93816941951189,2,OrderedDict({'n_neighbors': 2}),-343.6572723689397,-324.65346209433716,-325.3626330311391,-330.40021022204706,-329.927468628868,-330.80020926906616,6.834844302397924,1
10,0.08554363250732422,0.032613485501081126,206.59220027923584,68.87543638305456,1,OrderedDict({'n_neighbors': 1}),-343.6572723689397,-324.65346209433716,-325.3626330311391,-330.40021022204706,-329.927468628868,-330.80020926906616,6.834844302397924,1
11,0.09854216575622558,0.01215768975700283,161.66543984413147,25.898471501937543,117,OrderedDict({'n_neighbors': 117}),-582.9262908947576,-580.1173301800027,-586.711995795559,-582.0617527263172,-595.0260166874713,-585.3686772568216,5.2829226132617,11
12,0.06918163299560547,0.05182083228385194,148.42049651145936,28.237686238760478,66,OrderedDict({'n_neighbors': 66}),-515.184732623834,-510.9111811851268,-509.2903035080804,-512.5643805019051,-514.8624926088956,-512.5626180855684,2.262750410943519,4
13,0.09366116523742676,0.005819883995632579,218.3123490333557,69.10067773029672,38,OrderedDict({'n_neighbors': 38}),-458.87031927473396,-457.6503087636316,-451.7399816055709,-453.75220076205494,-456.130411930885,-455.6286444673753,2.5880530327978715,3
14,0.10211997032165528,0.01490999466216824,155.18957524299623,35.531772127644295,177,OrderedDict({'n_neighbors': 177}),-648.7666535277888,-648.9737879385101,-655.2679674155827,-649.4424517146235,-664.2283030024308,-653.3358327197872,5.957219186076652,18
15,0.07762722969055176,0.031918021113855805,212.20741262435914,58.66278148763603,108,OrderedDict({'n_neighbors': 108}),-568.975101826304,-563.4990145841546,-574.0865852056235,-567.2695440809355,-581.6864200775244,-571.1033331549085,6.292129842700654,9
16,0.21133151054382324,0.03877620418933508,147.62756567001344,30.258282812799724,192,OrderedDict({'n_neighbors': 192}),-666.915057154119,-666.5227302588358,-671.7259230061753,-659.8442386020234,-675.4263189015177,-668.0868535845343,5.270120829676775,20
17,0.08395895957946778,0.032826949176979675,144.94415307044983,30.28969020402494,90,OrderedDict({'n_neighbors': 90}),-545.3975167520694,-541.8088950203653,-545.8187491788201,-541.2346603600053,-556.3235661257473,-546.1166774874015,5.425451320054134,7
18,0.09605998992919922,0.011117305771338907,161.598730802536,43.97103834956053,86,OrderedDict({'n_neighbors': 86}),-541.0097884640652,-538.051307318355,-542.0497306530023,-539.2380764682696,-549.1158268182116,-541.8929459443807,3.867326620951648,6
19,0.09980664253234864,0.04021785995100926,147.50549755096435,27.209365358322586,172,OrderedDict({'n_neighbors': 172}),-642.7067402443831,-646.5448035737747,-650.7464196557614,-642.6975430298253,-657.8854214571973,-648.1161855921885,5.717501696592563,17
